date;amount;image;note
2024-11-24;3097,18;IMG_4392.JPG                                                         ;
2024-09-18;476,00;IMG_4393.JPG                                                         ;
2024-11-09;1735,34;IMG_4394.JPG                                                         ;
2024-10-03;325,00;IMG_4395.JPG                                                         ;
2024-11-13;149,90;IMG_4396.JPG                                                         ;
2024-11-16;320,00;IMG_4397.JPG                                                         ;
2024-11-26;2097,98;IMG_4398.JPG                                                         ;
2024-11-10;264,00;IMG_4399.JPG                                                         ;
2024-11-10;2300,00;IMG_4400.JPG                                                         ;
2024-11-12;548,00;IMG_4401.JPG                                                         ;
2024-11-01;25,00;IMG_4402.JPG                                                         ;
2024-10-07;100,00;IMG_4403.JPG                                                         ;
2024-11-08;835,00;IMG_4404.JPG                                                         ;
2024-11-02;485,00;IMG_4405.JPG                                                         ;
2024-11-02;1760,00;IMG_4406.JPG                                                         ;
2024-11-06;164,00;IMG_4407.JPG                                                         ;
2024-11-11;65,00;IMG_4408.JPG                                                         ;
2024-11-21;2241,00;IMG_4409.JPG                                                         ;
2024-11-10;868,00;IMG_4410.JPG                                                         ;
2024-11-09;2500,00;IMG_4411.JPG                                                         ;
2024-11-09;10760,00;IMG_4412.JPG                                                         ;
2024-09-18;2760,40;IMG_4413.JPG                                                         ;
2024-11-08;625,30;IMG_4414.JPG                                                         ;
2024-11-02;783,10;IMG_4415.JPG                                                         ;
2024-10-29;9740,00;IMG_4416.JPG                                                         ;
2024-09-11;185,00;IMG_4417.JPG                                                         ;
2024-11-25;400,00;IMG_4418.JPG                                                         ;
2024-11-21;40,00;IMG_4419.JPG                                                         ;
2024-11-23;620,00;IMG_4420.JPG                                                         ;
2024-11-06;552,00;IMG_4421.JPG                                                         ;
2024-10-08;450,80;IMG_4422.JPG                                                         ;
2024-10-01;5940,00;IMG_4423.JPG                                                         ;
2024-09-26;593,50;IMG_4424.JPG                                                         ;
2024-09-13;60,00;IMG_4425.JPG                                                         ;
2024-09-27;131,00;IMG_4426.JPG                                                         ;
2024-09-12;941,18;IMG_4427.JPG                                                         ;
2024-09-23;7942,00;IMG_4428.JPG                                                         ;
2024-10-07;630,00;IMG_4430.JPG                                                         ;
2024-11-20;73,00;IMG_4431.JPG                                                         ;
2024-11-11;137,60;IMG_4432.JPG                                                         ;
2024-11-13;30,00;IMG_4433.JPG                                                         ;
2024-09-18;480,00;IMG_4434.JPG                                                         ;
2024-09-22;150,00;IMG_4435.JPG                                                         ;
2024-09-22;650,00;IMG_4436.JPG                                                         ;
2024-09-20;130,00;IMG_4437.JPG                                                         ;
2024-10-09;80,00;IMG_4439.JPG                                                         ;
2024-10-09;900,00;IMG_4440.JPG                                                         ;
2024-10-09;100,00;IMG_4441.JPG;
;24,00;;
;88,80;;
;161,46;;
;315,00;;
;431,40;;
;600,00;;подъем 
;600,00;;тряпки
;606,00;;
;627,70;;
;805,00;;
;836,14;;
;1000,00;;работа 
;1200,00;;работа 
;1400,00;;ремонт машинки
;1400,00;;замена запчастей
;2300,00;;химичистка 
;2358,00;;обои
;2400,00;;ремонт холодильника
;4650,00;;
;5495,00;;
;6096,50;;
;6121,15;;
;7027,50;;
;7800,00;;потолки 
;9000,00;;
;11300,00;;
;11500,00;;
;12800,00;;
;13200,00;;
;16800,00;;
;19500,00;;работа
;19500,00;;
;20000,00;;
